Time,PYR,T,V,I,P
2023-11-27 15:05:58,45.36,16.83,1.74,9.625,16.77
2023-11-27 15:06:19,43.79,16.83,1.88,9.404,17.7
2023-11-27 15:07:24,50.05,16.83,1.74,9.625,16.77
2023-11-27 15:07:45,53.18,16.83,1.88,9.38,17.65
2023-11-27 15:10:21,45.36,16.83,1.78,9.625,17.15
2023-11-27 15:12:11,62.56,16.83,1.9,9.429,17.94
2023-11-27 15:12:32,64.13,16.83,1.76,9.625,16.96
2023-11-27 15:12:52,62.56,16.83,1.76,9.65,17.0
2023-11-27 15:13:13,59.43,16.83,1.92,9.33,17.93
2023-11-27 15:13:33,59.43,17.28,1.74,9.675,16.85
2023-11-27 15:14:39,53.18,16.83,1.82,9.502,17.31
2023-11-27 15:15:00,48.48,17.28,1.8,9.576,17.26
2023-11-27 15:15:20,43.79,17.28,1.74,9.675,16.85
2023-11-27 15:15:41,39.1,17.28,1.96,9.306,18.26
2023-11-27 15:17:31,59.43,16.83,1.9,9.355,17.79
2023-11-27 15:17:52,57.87,17.28,1.74,9.675,16.85
2023-11-27 15:18:57,32.84,16.83,1.92,9.33,17.93
2023-11-27 15:20:48,18.77,16.83,1.8,9.576,17.26
2023-11-27 15:23:24,23.46,16.83,1.74,9.65,16.81
2023-11-27 15:24:29,35.97,16.83,1.8,9.576,17.26
2023-11-27 15:24:50,37.54,16.83,1.94,9.306,18.07
2023-11-27 15:25:10,37.54,16.83,1.82,9.478,17.27
2023-11-27 15:25:31,39.1,16.83,1.76,9.625,16.96
2023-11-27 15:25:51,37.54,16.83,1.78,9.576,17.07
2023-11-27 15:26:12,37.54,16.83,1.96,9.281,18.21
2023-11-27 15:26:32,39.1,17.28,1.78,9.552,17.02
2023-11-27 15:27:38,35.97,16.83,1.78,9.625,17.15
2023-11-27 15:27:59,35.97,17.28,1.76,9.625,16.96
2023-11-27 15:29:49,32.84,16.83,1.9,9.404,17.89
2023-11-27 15:30:55,31.28,16.83,1.78,9.576,17.07
2023-11-27 15:32:00,31.28,16.83,1.82,9.502,17.31
2023-11-27 15:32:21,29.72,16.83,1.94,9.306,18.07
2023-11-27 15:32:42,29.72,16.83,1.78,9.601,17.11
2023-11-27 15:33:02,28.15,16.83,1.82,9.502,17.31
2023-11-27 15:33:23,28.15,17.28,1.92,9.33,17.93
2023-11-27 15:33:43,29.72,16.83,1.74,9.65,16.81
2023-11-27 15:34:04,31.28,16.83,1.82,9.527,17.36
2023-11-27 15:34:24,31.28,16.83,1.74,9.65,16.81
2023-11-27 15:37:00,37.54,16.83,1.78,9.552,17.02
2023-11-27 15:37:20,39.1,16.83,1.94,9.306,18.07
2023-11-27 15:39:56,26.59,16.83,1.94,9.306,18.07
2023-11-27 15:40:17,31.28,16.83,1.76,9.601,16.92
2023-11-27 15:40:37,32.84,16.83,1.88,9.38,17.65
2023-11-27 15:40:58,35.97,16.83,1.78,9.601,17.11
2023-11-27 15:41:18,37.54,16.83,1.74,9.65,16.81
2023-11-27 15:41:39,35.97,16.83,1.9,9.38,17.84
2023-11-27 15:41:59,34.41,16.37,1.94,9.306,18.07
2023-11-27 15:42:20,29.72,16.83,1.84,9.502,17.5
2023-11-27 15:42:40,25.02,16.83,1.84,9.502,17.5
2023-11-27 15:45:16,10.95,16.37,1.88,9.453,17.79
2023-11-27 15:45:37,10.95,16.83,1.82,9.552,17.4
2023-11-27 15:45:57,12.51,16.83,1.82,9.502,17.31
2023-11-27 15:47:48,31.28,16.83,1.84,9.478,17.46
2023-11-27 15:48:08,32.84,16.83,1.96,9.257,18.16
2023-11-27 15:49:14,34.41,16.83,1.92,9.306,17.89
2023-11-27 15:50:20,25.02,16.83,1.94,9.306,18.07
2023-11-27 15:50:40,23.46,16.83,1.92,9.33,17.93
2023-11-27 15:53:16,37.54,16.37,1.76,9.625,16.96
2023-11-27 15:53:36,39.1,16.37,1.84,9.453,17.41
2023-11-27 15:53:57,39.1,16.37,1.94,9.306,18.07
2023-11-27 15:54:17,39.1,16.37,1.86,9.453,17.6
2023-11-27 15:54:38,37.54,16.83,1.82,9.502,17.31
2023-11-27 15:54:58,34.41,16.37,1.96,9.281,18.21
2023-11-27 15:55:19,31.28,16.37,1.96,9.281,18.21
2023-11-27 15:55:40,28.15,16.83,1.92,9.306,17.89
2023-11-27 15:56:45,28.15,16.37,1.94,9.33,18.12
